13-5726163      Overington,       Gill 22    15.83 $348.26 $327.36
88-0384867        Bachelar,     Warren 22    56.67 $1,246.74 $1,171.94
31-9923694        Kilbride,    Corilla 37    33.90 $1,254.30 $1,179.04
41-4945775         Greenly,     Collie 39    54.18 $2,113.02 $1,986.24
52-2143091         Karpman,     Audrey 35    31.09 $1,088.15 $1,022.86
06-0876440          Telfer,    Skippie 26    47.12 $1,225.12 $1,151.61
70-9204724         Arnould,       Rici 22    28.73 $632.06 $594.14
54-8259106            Crim,    Wendell 35    18.61 $651.35 $612.27
62-5856168        Mellonby,     Antone 30    14.76 $442.80 $416.23
69-7057730           Sarah,    Charlot 40    39.01 $1,560.40 $1,466.78
69-6639643         Droghan,       Clio 15    53.47 $802.05 $753.93
85-8784568          Greggs,        Noe 24    20.33 $487.92 $458.64
82-8970755      Petroselli,      Rorie 18    49.62 $893.16 $839.57
06-1259858        Josefsen,    Candida 32    45.22 $1,447.04 $1,360.22
30-7149220        Lorkings,       Brig 26    23.24 $604.24 $567.99
45-0951316         Stanier,     Charis 26    28.52 $741.52 $697.03
18-5707972        Dunsford,      Gerry 38    14.16 $538.08 $505.80
54-2648719         Moggach,      Sonia 29    39.50 $1,145.50 $1,076.77
71-9789773        Mallinar,      Seana 40    22.29 $891.60 $838.10
56-8747629          Lowing,      Clari 27    27.54 $743.58 $698.97
39-4771310          Pygott,       Tish 28    10.88 $304.64 $286.36
57-0478969          Morrad,      Kania 25    15.75 $393.75 $370.13
93-4697980            Lunt,   Nathalia 20    49.63 $992.60 $933.04
64-9408441          Galier, Maximilien 15    36.95 $554.25 $521.00
10-4905089     MacLoughlin,      Keven 37    46.33 $1,714.21 $1,611.36
35-7277721          Alsina,      Nadya 29    49.90 $1,447.10 $1,360.27
33-1423516         Terrans,      Ketty 17    31.43 $534.31 $502.25
93-0182020         Bateman,     Lezlie 19    37.84 $718.96 $675.82
84-5599283         Sturman, Donnamarie 37    25.62 $947.94 $891.06
73-7417943           Aspey,       Mame 24    35.08 $841.92 $791.40
18-1408186            Fyfe,     Wilton 40    54.10 $2,164.00 $2,034.16
48-1730003             Paz,      Barde 34    42.16 $1,433.44 $1,347.43
96-6770861          Saller,       Cass 37    32.85 $1,215.45 $1,142.52
67-2129232     Yakebovitch,      Goran 31    42.11 $1,305.41 $1,227.09
64-9757214          Rootes,    Margery 32    42.48 $1,359.36 $1,277.80
48-9476448     Stanborough,     Scotti 37    24.04 $889.48 $836.11
31-4712009        Briffett,      Matty 34    23.30 $792.20 $744.67
81-7886270        Coonihan,      Tasha 36    26.47 $952.92 $895.74
45-8747802         Mantram,     Cassie 33    14.31 $472.23 $443.90
35-3588844          Alster,      Alden 40    31.44 $1,257.60 $1,182.14
29-6096341        Filippov,     Louisa 39    31.54 $1,230.06 $1,156.26
54-3344711        Schimank,     Wallas 17    43.32 $736.44 $692.25
67-5379768     Godehard.sf,     Austin 30    30.36 $910.80 $856.15
31-0286339            Vase,  Bobinette 15    11.09 $166.35 $156.37
46-7531610        Lindmark,      Pippo 21    44.91 $943.11 $886.52
38-7704608           Fredi,     Danita 25    17.80 $445.00 $418.30
51-4202151    MacGillivray,       Rafe 16    44.23 $707.68 $665.22
12-1216627          Barden,       Mata 25    43.98 $1,099.50 $1,033.53
75-8759385         Niemetz,     Mischa 20    59.85 $1,197.00 $1,125.18
59-5797207         Iorizzi,    Leeanne 19    24.22 $460.18 $432.57
87-4292060          Ewells,     Deanne 40    53.51 $2,140.40 $2,011.98
41-3523081         Dalwood,       Tani 25    26.31 $657.75 $618.29
35-0050377          Buckby,      Tracy 25    50.34 $1,258.50 $1,182.99
69-5204450        Coultous,        Bay 29    42.49 $1,232.21 $1,158.28
58-8321772      Hairesnape,    Salomon 15    52.18 $782.70 $735.74
54-0642215          Smails,     Ansley 33    51.38 $1,695.54 $1,593.81
96-6583003            Ogle,      Kalle 17    19.31 $328.27 $308.57
75-8632041         Fantham,   Britteny 17    19.64 $333.88 $313.85
75-1928270        MacRirie,     Rogers 27    58.03 $1,566.81 $1,472.80
46-7767081        Westwick,   Cathrine 26    24.59 $639.34 $600.98
57-3887083    Giovannacc@i,      Robyn 39    17.52 $683.28 $642.28
95-0606781        Stirgess,     Starla 36    29.12 $1,048.32 $985.42
96-2446301        Castelow,    Garrott 22    50.33 $1,107.26 $1,040.82
48-5557344         Tabrett,     Pearle 33    37.26 $1,229.58 $1,155.81
10-9820477         Tucsell,    Mattias 36    25.82 $929.52 $873.75
60-3540966           Isitt,     Charil 27    11.37 $306.99 $288.57
19-3310014          Pawlyn,       Cass 32    10.90 $348.80 $327.87
78-9855294           Heigl,      Windy 19    34.78 $660.82 $621.17
46-0959580   Raubenheimers,  Christine 40    45.29 $1,811.60 $1,702.90
70-3083129          Corish,     Xavier 19    55.97 $1,063.43 $999.62
89-2907541          Kubiak,   Katerina 35    18.48 $646.80 $607.99
32-7593231         Boolsen,    Rhiamon 39    27.98 $1,091.22 $1,025.75
75-9073944          Manion,     Julina 38    37.69 $1,432.22 $1,346.29
51-0827722         Skingle,     Muriel 21    40.14 $842.94 $792.36
58-8613650          Fibben,     Elvina 29    21.62 $626.98 $589.36
74-3605417        Kennally,    Karleen 34    39.51 $1,343.34 $1,262.74
47-4853935         Wareham,     Yettie 33    28.04 $925.32 $869.80
09-3775862       Bampforth,     Dolley 24    46.48 $1,115.52 $1,048.59
76-3884661         Craydon,      Tandi 22    30.35 $667.70 $627.64
80-6427467       Ricciardo,      Davin 29    40.78 $1,182.62 $1,111.66
86-7695308        Clitsome,     Skelly 32    16.01 $512.32 $481.58
03-5448355        Burrells,     Gustie 22    32.82 $722.04 $678.72
44-8136075        Wombwell,      Lissa 40    50.42 $2,016.80 $1,895.79
20-5478806      Brookfield, Clementius 16    54.44 $871.04 $818.78
96-1369994        Scoggins,     Thalia 19    24.56 $466.64 $438.64
75-2392060             Tal,    Whitney 36    57.41 $2,066.76 $1,942.75
80-4771629           Crumb,     Desiri 39    19.93 $777.27 $730.63
88-6128584             Dat,   Jephthah 32    29.60 $947.20 $890.37
66-5490271      de Almeida,    Madelyn 39    31.45 $1,226.55 $1,152.96
08-6229802       Bielefeld,  Jacquetta 22    17.24 $379.28 $356.52
09-4286803        Peealess,       Coop 39    52.92 $2,063.88 $1,940.05
81-7690035      Gallanders,     Kelbee 27    29.17 $787.59 $740.33
94-3873912        Rizzetti, Margarette 21    48.74 $1,023.54 $962.13
46-7519596         Dorning,   Shurlock 33    27.96 $922.68 $867.32
38-7395921      Besnardeau,     Lebbie 40    37.72 $1,508.80 $1,418.27
76-9450595        Tolefree,      Lanny 16    17.83 $285.28 $268.16
37-6034954         Rowlett,       Illa 17    31.55 $536.35 $504.17
65-0817707           Benit,    Michail 24    48.34 $1,160.16 $1,090.55
38-9250138           Palle,    Felicle 23    16.60 $381.80 $358.89
93-0637120           Gwynn,    Laurena 30    10.08 $302.40 $284.26
98-4013186         Dametti,    Ginelle 17    30.63 $520.71 $489.47
77-4681378           Downs,  Guillaume 28    42.65 $1,194.20 $1,122.55
03-9539407          Burnie,      Nissy 32    41.68 $1,333.76 $1,253.73
14-9539192           Polin,       Orsa 33    57.49 $1,897.17 $1,783.34
52-9296908        Bettanay,     Hadley 36    20.05 $721.80 $678.49
65-7274907          Chaulk,     Cortie 39    18.99 $740.61 $696.17
07-5728162        McKirton,      Reeva 28    48.44 $1,356.32 $1,274.94
40-4873858         Hakking,  Richmound 32    17.31 $553.92 $520.68
16-3763979            Tort,     Joline 38    38.59 $1,466.42 $1,378.43
62-2049065        Waldocke,      Addia 28    12.57 $351.96 $330.84
13-6474574            Pain,       Farr 18    47.10 $847.80 $796.93
43-0546778          Raymen,     Ingmar 32    38.89 $1,244.48 $1,169.81
73-7896062       Brannigan,     Aubine 21    30.83 $647.43 $608.58
35-3151435           Boram,     Wilona 16    24.81 $396.96 $373.14
63-4087401         Dreelan,     Felipe 31    46.39 $1,438.09 $1,351.80
46-5949107         Chilton,  Henrietta 36    44.90 $1,616.40 $1,519.42
46-2219832          Kurton,     Aleece 17    50.58 $859.86 $808.27
96-6325399          Turone,      Emery 39    38.01 $1,482.39 $1,393.45
57-3514506         Kirvell,       Jose 34    28.85 $980.90 $922.05
40-4376196      Franceschi,   Nicoline 37    36.25 $1,341.25 $1,260.77
17-7721674        Chapling, Konstantin 19    52.18 $991.42 $931.93
65-2654069        Millward,       Mose 26    25.13 $653.38 $614.18
29-9293072            Vick,        Wes 17    37.71 $641.07 $602.61
94-5794143      McLoughlin,   Christos 21    18.49 $388.29 $364.99
41-3109020 Featherstonehaugh,      Nanny 28    58.64 $1,641.92 $1,543.40
18-5708733        Hannaway,      Natty 40    45.34 $1,813.60 $1,704.78
50-9341047       Allchorne,     Walden 31    38.97 $1,208.07 $1,135.59
50-3393042       Sparkwell,      Dacie 38    52.42 $1,991.96 $1,872.44
20-7120258           Sabie,     Brigid 39    13.99 $545.61 $512.87
85-1313804          Casale,     Ileane 20    33.28 $665.60 $625.66
19-0286364          Temple,     Ardyce 21    24.26 $509.46 $478.89
55-9726207           Tatum,      Poppy 30    50.62 $1,518.60 $1,427.48
12-7210262      McTrustrie,    Delcina 18    45.39 $817.02 $768.00
34-6543288          Nesbit,       Evan 15    24.81 $372.15 $349.82
61-2775639       Lawerence,     Easter 19    53.09 $1,008.71 $948.19
80-8182344           Redon,     Brande 25    44.53 $1,113.25 $1,046.46
81-9960194           Sille,        Zak 28    13.30 $372.40 $350.06
64-4672722        Gianullo,       Beth 24    46.38 $1,113.12 $1,046.33
79-0076843         Shepley,      Levon 40    18.95 $758.00 $712.52
50-2507375         Toulmin,     Jeromy 39    48.64 $1,896.96 $1,783.14
14-4361971       Bradburne,        Den 37    32.88 $1,216.56 $1,143.57
44-8928997        Lyddiard,     Idalia 30    18.65 $559.50 $525.93
88-3012868        Grattage,     Siusan 25    30.86 $771.50 $725.21
37-1617512           Tubby,      Johna 24    13.47 $323.28 $303.88
15-3267071           Sayce,     Almeda 27    18.31 $494.37 $464.71
14-6783676          Gaudon,        Lou 34    22.86 $777.24 $730.61
78-3689646         Quarton,   Meredith 37    56.35 $2,084.95 $1,959.85
10-3097966        Fernando,       Moll 23    20.96 $482.08 $453.16
94-4660803          Novill,     Gibbie 33    43.96 $1,450.68 $1,363.64
89-3891994        Cleugher,     Dyanne 22    43.35 $953.70 $896.48
24-4009335         Willden,       Lois 33    19.12 $630.96 $593.10
38-8802108          Ingray,  Louisette 23    52.92 $1,217.16 $1,144.13
73-0772688          Warman,       Kali 40    49.28 $1,971.20 $1,852.93
99-6086139         Reynard,      Moira 29    18.21 $528.09 $496.40
66-7024151        Alliband,       Jada 25    46.74 $1,168.50 $1,098.39
80-2675795           Lenox,      Jenny 15    22.27 $334.05 $314.01
88-2090964           Legan,      Gilda 19    58.74 $1,116.06 $1,049.10
89-3633776          Recher,       Kori 30    17.73 $531.90 $499.99
15-5062935           Fidoe,       Yuma 35    53.93 $1,887.55 $1,774.30
96-8863363       Antonikov, Bartolomeo 34    49.32 $1,676.88 $1,576.27
02-1393334        Kornilov,     Bidget 37    39.01 $1,443.37 $1,356.77
97-8796626           Mingo,     Waylin 40    35.94 $1,437.60 $1,351.34
65-9700476     Laffranconi,  Gaultiero 31    15.53 $481.43 $452.54
63-4627253       Bernardet,      Rorke 15    11.46 $171.90 $161.59
03-3783119          Larham,    Rowland 15    40.98 $614.70 $577.82
32-4034239       McIlvaney,   Courtnay 17    58.50 $994.50 $934.83
65-4837111         Maxwell,     Nilson 30    36.71 $1,101.30 $1,035.22
05-1968910         De Pero,       Clem 22    12.71 $279.62 $262.84
67-6245452           Duran,      Brena 19    51.05 $969.95 $911.75
81-9596519  Alexsandrovich,     Lazaro 40    20.29 $811.60 $762.90
11-8512775          Beirne,     Turner 23    19.67 $452.41 $425.27
46-3521096            Sang, Barbara-anne 20    45.47 $909.40 $854.84
10-3722358          Mulder,    Lorilyn 28    12.73 $356.44 $335.05
22-4079747            Tabb,      Derby 25    30.80 $770.00 $723.80
44-7984006         Jenoure,     Dannie 33    35.83 $1,182.39 $1,111.45
55-7372847          Peinke,      Alano 17    43.61 $741.37 $696.89
72-0436262         Moffett,     Freddy 30    42.32 $1,269.60 $1,193.42
70-4360046           Prest,      Brose 33    40.89 $1,349.37 $1,268.41
88-6374525         Skeemer,   Reinhold 15    39.83 $597.45 $561.60
31-8786093            Maun,      Decca 16    26.59 $425.44 $399.91
23-3498166          Alliot,      Tommy 21    13.11 $275.31 $258.79
93-6531400         Maidens, Konstantine 25    59.80 $1,495.00 $1,405.30
45-3750278        Gillbard,      Paolo 25    20.44 $511.00 $480.34
62-3032158         Quartly,  Emmalynne 35    51.63 $1,807.05 $1,698.63
39-4316300          Graine,    Devland 39    10.81 $421.59 $396.29
72-1893660       Cancellor,      Derry 35    54.95 $1,923.25 $1,807.85
59-5737783          Hedley,       Dunc 25    12.49 $312.25 $293.52
04-4244813         Gilbart,      Harri 35    28.65 $1,002.75 $942.58
97-7600925         Bontein,      Mella 31    50.47 $1,564.57 $1,470.70
36-8548617         Borwick,   Matthieu 27    59.95 $1,618.65 $1,521.53
48-2593310           Gobat,     Jasper 39    48.89 $1,906.71 $1,792.31
37-6103891          Heskey,        Ede 30    11.12 $333.60 $313.58
70-9059207          Sterke,    Timofei 40    30.43 $1,217.20 $1,144.17
08-1546073       Thomesson,  Beniamino 24    40.83 $979.92 $921.12
65-1591012         Ebbings,   Hartwell 29    36.73 $1,065.17 $1,001.26
76-8797899          Gludor,      Damon 23    21.13 $485.99 $456.83
82-7671306         Cressey,     Janine 32    34.24 $1,095.68 $1,029.94
55-2398117          Waiton,    Matilda 33    16.29 $537.57 $505.32
53-3029141           Shiel,    Ellwood 30    40.27 $1,208.10 $1,135.61
02-8178463       Francklyn,      Jobie 25    26.77 $669.25 $629.09
97-5563984          Maylor,      Matty 31    47.91 $1,485.21 $1,396.10
79-0246839          Minkin,      Dredi 26    59.93 $1,558.18 $1,464.69
65-9340280         Cassely,   Timothea 22    17.56 $386.32 $363.14
58-4765365          Mauger,       Edin 26    53.92 $1,401.92 $1,317.80
22-8947592       Brownhill,    Cordula 16    52.49 $839.84 $789.45
14-9941581       Latehouse,    Basilio 38    56.96 $2,164.48 $2,034.61
25-2521137       Pietrasik,     Weider 17    20.65 $351.05 $329.99
11-6053139           Shaul,       Trix 36    13.19 $474.84 $446.35
90-3985529    Alessandrini,     Dalila 21    37.13 $779.73 $732.95
02-8159652         Quincey,     Ebonee 25    40.43 $1,010.75 $950.10
52-3338834         Dyerson,       Eben 18    23.32 $419.76 $394.57
35-6242576           Nulty,     Noella 35    15.78 $552.30 $519.16
31-0131959           Wawer,   Papagena 32    16.85 $539.20 $506.85
68-8134041          Oulett,       Phil 28    35.81 $1,002.68 $942.52
18-2161190     Weerdenburg,     Jervis 27    56.58 $1,527.66 $1,436.00
42-3243007         Malicki,   Angeline 34    22.03 $749.02 $704.08
10-4420182        Swannell,    Anderea 32    33.97 $1,087.04 $1,021.82
74-9588419         Farmery,   Catlaina 18    49.03 $882.54 $829.59
24-9125335   Bartels-Ellis,     Sherie 36    30.11 $1,083.96 $1,018.92
82-5712161      Kingswoode,     Irving 18    35.32 $635.76 $597.61
91-4943133         Perrott,   Berkeley 33    17.82 $588.06 $552.78
67-2335382         Sheeran,     Jarred 39    25.51 $994.89 $935.20
70-6587282         Revance,     Devora 35    19.85 $694.75 $653.06
02-1454167          Doldon,    Lorilee 31    57.84 $1,793.04 $1,685.46
88-4849363    D'Alessandro,     Penrod 37    41.83 $1,547.71 $1,454.85
91-7415816          Parram,      Kaila 27    49.01 $1,323.27 $1,243.87
86-8018887         Lemmens,     Nancie 16    57.85 $925.60 $870.06
39-6776378           Ruzek,      Rubin 36    24.89 $896.04 $842.28
38-9256292         Lorincz,   Leonelle 40    56.57 $2,262.80 $2,127.03
80-9703802          Knaggs,     Ariana 28    31.52 $882.56 $829.61
74-0436520           Cecil,    Jeannie 40    52.29 $2,091.60 $1,966.10
